nom_com;code_insee_com;moyenne_pollution;niveau_vie_median_2021
RODEZ;12202;6.899553571428571;22210.0
TOULOUSE;31555;9.746520146520147;22140.0
AUCH;32013;14.005405405405407;21800.0
ARGELES-GAZOST;65025;8.617821782178218;21770.0
MONTAUBAN;82121;11.700615384615384;21630.0
