Commune;Moyenne_Noel;Moyenne_Normal
BEZIERS;49.0;94.13333333333334
MONTPELLIER;186.75510204081633;183.0
PERPIGNAN;131.4936170212766;143.46
TOULOUSE;132.75121951219512;166.94266666666667
